Researchers have found a backdoor in multiple versions of a WordPress plugin called School Management Pro that gives attackers complete control over websites that use it.Read  ,technews
Cisco releases security patches for a new vulnerability in its IOS XR software that has been exploited in realworld attacks to access Redis instances.Read details   ,technews
Microsoft has discovered that the activity of the Linux botnet malware known as XorDdos has increased by 254 in the last six months.Read  ,technews
Google researchers have pointed fingers at spyware company Cytrox for developing exploits for 5 zeroday vulnerabilities including 4 in Chrome and 1 in Android to remotely hack targeted Android devices.Read  ,technews
Researchers discover a new Rust Crate Registrys software supply chain attack targeting cloud continuous integration CI pipelines with malware written in the Go language.Read  ,technews
The North Koreanbacked Lazarus hacker group has been observed exploiting the Log4Shell vulnerability in VMware Horizon servers to deploy the NukeSped implant  aka Manuscrypt against targets in its southern counterpart.Read  ,technews
QNAP urges its users to update their networkattached storage NAS devices immediately to prevent a new wave of Deadbolt ransomware attacks.Read details  ,technews
A novel Bluetooth relay attack could allow attackers to remotely unlock and operate cars open smart locks in residential buildings and breach secured areas more easily than ever before.Read  ,technews
Google has patched a highseverity vulnerability in its OAuth library for Java that could be exploited by a malicious actor with a compromised token to trigger arbitrary payloads.Read  ,technews
Web trackers running in the background of several of the worlds most popular websites are intercepting emails and passwords of visitors even before they submit an online form.Read  ,technews
VMware has issued patches to address two new vulnerabilities  CVE202222972 and CVE202222973  affecting Workspace ONE Access Identity Manager and vRealize Automation which can be exploited to backdoor enterprise networks.Read  ,technews
Researchers reveal the inner working of a cybercriminal group known as Wizard Spider providing unprecedented visibility into its structure background and motivations.Read details   ,technews
Microsoft warns of a new malicious campaign targeting SQL Servers that involves use of a builtin PowerShell utility sqlps.exe to achieve fileless persistence on compromised systems.Read  ,technews
U.S. State Department Treasury Department and FBI warn that highly skilled North Korean software and app developers are posing as nonDPRK nationals to work as freelancers or IT consultants enabling the regimes malicious cyberattacks.Read  ,technews
Microsoft warns against cryware malware that steals information and exfiltrates data directly from untrusted cryptocurrency wallets.Read  ,technews
Russian Conti ransomware gang has threatened to overthrow the newly elected government of Costa Rica with a cyberattack and has increased its ransom demand to 20 million in order to obtain a decryption key to unlock the hacked systems.Read  ,technews
