OTD 3 years ago F1 and Motorsport lost a legend.DankeNiki,sports
Fresh from its dominating win over ATK Mohun Bagan twotime HeroILeague champion GokulamKeralaFC will look to put one foot in the interzone semifinal with a victory over Maziya Sports  Recreation Club in the AFCCup2022 IndianFootball  ,sports
Ariarne Titmus narrowly missed the world record in a sizzling 200m freestyle swim at the Australian championships on Friday as fellow Olympic champion Kaylee McKeown took out the 100m backstroke crown.swimming  ,sports
  Anirudh Thapa signs up for two more years with Chennaiyin FC.  He will continue to represent the club until the summer of 2024.  ISL    https ,sports
Twotime Olympic medallist P V Sindhu beat World No. 1 Akane Yamaguchi of Japan in three games to make it to the semifinals of the ThailandOpen2022 Badminton Details   ,sports
P V Sindhu is through to the ThailandOpen2022 semis with a 2115 2022 2113 win over Japans Akane Yamaguchi in 51 minutes.  Sindhu faces Olympic champion Chen Yu Fei of China in the final four match on Saturday.  HIGHLIGHTS https ,sports
Sindhu leads 117 in the deciding third game of the quarterfinal.  ThailandOpen2022   LIVE httpssportstar.thehindu.combadmintonsindhuvsyamaguchilivethailandopenquarterfinal2022article38495387.ece3f,sports
World No. 1 Yamaguchi has turned it around to win the second game 2220 and take this to a decider.  ThailandOpen2022   LIVE httpssportstar.thehindu.combadmintonsindhuvsyamaguchilivethailandopenquarterfinal2022article38495387.ece3f,sports
Sindhu wins ten of the last eleven points to lead 115 at the midgame interval in the second game.  ThailandOpen2022   LIVE httpssportstar.thehindu.combadmintonsindhuvsyamaguchilivethailandopenquarterfinal2022article38495387.ece,sports
Sindhu wins the opening game 2115.  ThailandOpen2022     LIVE httpssportstar.thehindu.combadmintonsindhuvsyamaguchilivethailandopenquarterfinal2022article38495387.ece,sports
P V Sindhu leads Akane Yamaguchi 119 in the opening game of the Thailand Open Super 500 quarterfinal at the Impact Arena in Bangkok.  ThailandOpen2022   LIVE httpssportstar.thehindu.combadmintonsindhuvsyamaguchilivethailandopenquarterfinal2022article38495387.ece,sports
As Gareth Bale gets ready to leave RealMadrid  as a free agent Ancelotti says it is important to recognise the contribution that the Welshman has made to club and called on fans to give him a fitting farewell. LaLiga httptiny.ccensruz,sports
Neeraj Chopra and Nikhat Zareen have become good friends while training together at IIS Vijayanagar. Watching someone she had eaten trained and bonded with win the Olympic title made Nikhat believe she could do the same herself.By Jonathan Selvaraj   ,sports
Crystal Palace manager Patrick Vieira was involved in an altercation with a fan in the wake of 32 PremierLeague  defeat at Everton and could face a Football Association investigation into the incident.httptiny.cceksruz,sports
Djokovic risked being frozen out of RolandGarros due to his vaccine stance but earned a reprieve when France lifted restrictions in almost all public spaces in March. httptiny.ccsgsruz,sports
In a year of memorable firsts for Carlos Alcaraz the 19yearold Spaniard has transformed himself from being just another fresh face with immense potential to a genuine threat on the mens tour and a favourite for the RolandGarros httptiny.ccigsruz,sports
A chronic foot issue may be the biggest threat to Rafael Nadals bid for a recordextending 14th French Open trophy this month. RolandGarros httptiny.ccegsruz,sports
 RCB beat GT by 8 wickets in IPL2022  Nikhat Zareen clinched gold  at IBAWWC2022  P V Sindhu advanced to the QFs of ThailandOpen2022 All this and much more in our Daily briefing.,sports
Manchester Uniteds new manager Erik ten Hag has reportedly arrived in England and is set to attend the ailing giants final game of the Premier League season https ,sports
Novak Djokovic and Rafael Nadal could potentially face each other in the quarterfinal of the 2022 French Open which begins in Paris on May 22.  RolandGarros  httpssportstar.thehindu.comtennisfrenchopen2022drawseedingsrolandgarrosnadaldjokovicswiatekarticle38495222.ece,sports
It has been an incredible 12yearlong journey in boxing for Nikhat Zareen.   Her sisters and mother Parveen Sultana followed each minute of that final which saw Nikhat clinch her first World Championship medal  gold no less.   More from VV Subrahmanyam   ,sports
On  of the world   Congratulations Nikhat Zareen World Champion ,sports
This is the day we have been waiting for. This is the greatest moment for our entire family says Nikhat Zareens mother Parveen Sultana.   NikhatZareen  https ,sports
In 2018 Nadal had won his 11th French Open title matching Margaret Courts alltime record for the most number of times a player had won a single Major  the tears at trophy presentation showed how much the clay Major still meant to him.  RolandGarros  By Nihit Sachdevahttps ,sports
 BREAKING Nikhat Zareen wins gold at the Womens Boxing World Championships in Turkey.   She becomes Indias fifth gold medallist in the history of the tournament joining a club featuring Mary Kom Sarita Devi Jenny RL and Lekha KC.More details here  ,sports
It has been an incredible 12yearlong journey in the world of boxing for new World Champion Nikhat Zareen   For someone who hated to lose  in the ring and in life Nikhat is an embodiment of an indefatigable spirit with an intense desire to succeed. https ,sports
Sri Lanka recovered from early trouble to hold out Bangladesh and draw the seriesopening Test on the fifth day. BANvSL  https ,sports
JUST IN PV Sindhu vs Akane Yamaguchi in the ThailandOpen quarterfinals   Details    ,sports
The Indian Premier League final will start at 8pm instead of 7.30pm with the BCCI planning a closing ceremony featuring A. R. Rahman and Ranveer Singh ahead of the game. ,sports
 The Supreme Court has imposed a oneyear jail sentence on Navjot Singh Sidhu in a 1988 road rage case.NavjotSinghSidhu https ,sports
